input,response
"Do you know what it takes to unite 90 clans, half of whom want to massacre the other half for one insult or another? They speak seven different languages in my army. The Thenns hate the Hornfoots. The Hornfoots hate the ice-river clans. Everyone hates the cave people. So you know how I got moon worshippers and cannibals and giants to march together in the same army?",No.
"I'm not going to get any better, you know?",Well… You can't get any worse.
Hear my words and bear witness to my vow,To hell with all of you.
I'm Jon Snow and I'm from Winterfell. My daddy was a fancy lord and I lived in a tower that touched the clouds.,"If you're impressed by a windmill, you'd be swooning if you saw the Great Keep at Winterfell."
Lord Commander!,Get them to the ship and come back for me!
No one's going to hang you. You've done nothing wrong.,I've done plenty wrong.
So it was a figure of speech?,doesn't say anything. A group of Dothraki guards approach DAENERYS and speak in their native tongue.
He'll make you a Stark with the stroke of a pen?,"It's the first thing I ever remember wanting. I'd daydream that my father would ask the king, and just like that I would never be the bastard of Winterfell again."
The free folk are stubborn. You know how long it took Mance to band them together. 20 fucking years.,And he knew them better than I ever will.
We have dragonglass and Valyrian steel.,But there are too many of them.
"Tonight, the Night's Watch elect a new Lord Commander. Ser Alliser Thorne is going to win.",Most likely.
There's a band of wildlings south of the Wall already led by Tormund Giantsbane. I killed their warg and three others. They shot me full of arrows. Their orders are to attack Castle Black from the south when Mance hits it from the north. The signal for the attack will be a bonfire. Mance said it would be the greatest fire the North has ever seen. That's the truth. All the truth.,Do you intend to execute me or am I free to go?
Many things?,Your Grace.
The Halfhand does things in his own time.,My uncle told me stories about him.
"Shut up. Nymeria, gloves!",I have something for you. And it has to be packed very carefully.
"Wait, that's enough. “The shield that guards the realm of men.” That's what you swore to be. Now I'm not a learned man, but the best way of helping the most people might not be sitting in a frozen castle at the edge of the world. It just might mean wading in the muck, getting your boots dirty, and doing what needs to be doing.",And what needs to be done?
There is if you know where to look. The cold could kill us both. If you light a fire-,No fire.
"For centuries, our families fought side by side on the battlefield. I ask you to pledge your loyalty once again to House Stark, to serve as our bannermen and come to our aid whenever called upon.",Stand.
I read it in a book.,Look. It's Qhorin Halfhand.
Alys Karstark.,"For centuries, our families fought side by side on the battlefield. I ask you to pledge your loyalty once again to House Stark, to serve as our bannermen and come to our aid whenever called upon."
"I've been called lots of things, but that might be my first Lord Qhorin. You're a steward, Snow, not a ranger.",I've fought and killed a wight. How many rangers can say that?
He apologizes for not being here. He's not feeling well.,"Take good care of him. . Brothers. As you all know too well, it's long past time to dig a new latrine pit. . First Builder Yarwyck and I have decided to appoint a latrine captain to oversee this crucial task. . Brian. Seems like a good job for a ginger."
And it will be. It's not easy to see something that's never been before. A good world.,How do you know? How do you know it'll be good?
The wildlings will make a difference!,"The wildlings won't ever fight for Stannis, I told you before--"
Who then? You?,No. Only one of their own.
"You are in love, Lord Snow. You girls can do as you please. But if Thorne puts me up against Lady Piggy, I'm gonna slice me off a side of bacon.",No one touches Sam.
What do you think I should do?,I would never presume to --
"In your hearts, all you crows want to fly free.","When I'm free, will I be free to go?"
They're not your lands! We've been here the whole time. You lot came along and just put up a big wall and said it was yours.,"My father was Ned Stark. I have the blood of the First Men. My ancestors lived here, same as yours."
He wants you alive.,Why?
Ham. How many days in a row must a man be expected to start his day with ham? Bring me some beer at least. You look exhausted. Was your moonlight ride that tiring?,My friends brought me back.
"Don't you wish we could go back to the day we left? I want to scream at myself, “Don't go, you idiot”",How could we know?
"I wouldn't say you're a prisoner on this island. You're free to walk the castle, the beaches, to go wherever you want.",Except to my ship. They took my ship.
You could. She won't answer. I've known a wildling to bite off his tongue instead of talking.,What's your name?
Rapers. They were given a choice no doubt... Castration or the Wall. Most choose the knife. Not impressed by your new brothers? Lovely thing about the Watch... You discard your old family and get a whole new one.,Why do you read so much?
Look at its eyes.,What is it?
Not just the boys.,We can't defend the North if only half the population is fighting.
"Men decide where power resides, whether or not they know it.",What do you want?
You'll forgive me if I switch sides.,notices a single ship sailing into the bay. It has a kraken sigil. MISSANDEI turns to look.
"I obey my queen's commands, not yours.",And what are the queen's commands?
"Oh, aye. I respect him. If he gets what he wants, I expect he'll be a better ruler than the fools sitting on the Iron Throne the last hundred years. But I'll never serve him.",You told me you weren't here to conquer. You told me your people have bled enough.
You know who rules at Winterfell now?,Roose Bolton.
"At someone, I mean. It's a strange thing, the first time you cut a man. You realize we're nothing but sacks of meat and blood and some bone to keep it all standing. Let me thank you ahead of time for guarding us all from the perils beyond the Wall... Wildlings and White Walkers and whatnot. We're grateful to have good, strong men like you protecting us.",We've guarded the Kingdoms for 8 000 years.
How?,I put an arrow through his heart.
Open the gates.,It was a failure.
SNOW looks at SANSA.,"His direwolf's skin is on my floor. Come and see. I want my bride back. Send her to me, bastard, and I will not trouble you or your wildling lovers. Keep her from me and I will ride north and slaughter every wildling man, woman, and babe living under your protection. You will watch as I skin them living. You --"
"Forgive me, but may I ask a question?",Of course.
"I'm going beyond the Wallto Craster's Keep. I'm going to capture the mutineers holed up there or kill them. I'm asking for volunteers to come with me. There's 60 miles of wilderness between here and Craster's and Mance Rayder has an army bearing down on us, but we have to do this. Our survival may depend on us getting to these mutineers before Mance does. They know the Wall. They know our defenses. If Mance learns what they know, we're lost. But if that's not enough, then consider this. If the Night's Watch are truly brothers, then Lord Commander Mormont was our father. He lived and died for the Watch and he was betrayed by his own men. Stabbed in the back by cowards. He deserved far better. All we can give him now is justice. Who will join me?",I can't let a recruit come north of the Wall.
A raven came from the Citadel. A white raven. Winter is here.,"Well, Father always promised, didn't he?"
Your father. I suppose you favor your mother.,You knew him?
And how would we range north?,We wouldn't.
You want me alive so you can torture me?,No one's going to torture you.
We'll find out soon enough.,I don't need you to protect me.
No.,"We can't defend the north from the Walkers and the south from the Boltons. If we want to survive, we need Winterfell, and to take Winterfell, we need more men."
Why do you think Sansa told me the truth about you? Because she doesn't want Dany to be queen.,She doesn't get to choose.
Mag and Grenn.,Grenn and Mag.
No...she just had a baby! ...and she never offered.,"But if she had, you wouldo ve? You'd have broken your vows?"
"No, you're right, he's not. You can't tame a wild thing. You can't trust a wild thing.",Ghost is different.
Your uncle's in the Night's Watch.,What're you doing back there?
Man says he saw your uncle at Hardhome the last full moon.,He could be lying.
"If Ramsay wins, I'm not going back there alive. Do you understand me?","SNOW I won't ever let him touch you again. I'll protect you, I promise."
"Looks like the bastardo s in love. All right then, lord Snow, you wish to defend your lady love, let's make it an exercise. You two. Three of you ought to be sufficient to make lady piggy squeal. All you've got to do is get past the bastard.",Are you sure you want to do this?
"Aye, I liked it some. Who taught you that?",There's been no one else. Only you.
Cease fire!,The Night King is coming.
"I brought a pair for you. They're too big for you, but they're good.",You kill someone for them?
Not by me.,"The free folk, the northerners, and the Knights of the Vale fought bravely, fought together, and we won. My father uses to say we find our true friends on the battlefield."
You do move quiet.,How many?
Take him.,What are you doing here?
"I am not your servant, Jon Snow.",You're in my camp. I'm the commander.
I do actually.,You didn't before. Grumpkins and snarks you called them. Do you remember? You said it was all nonsense.
Why would you do that?,Because you are not my enemy. And I'm not yours.
You do. You do. You've always known.,What about everyone else? All the other people who think they know what's good.
Whose?,"Yours. You are my sister. You are the only Stark in Winterfell. Until I return, the north is yours."
Who decides?,I suppose Stannis does.
Oh? How big were her feet?,Well what do you want me to say?
Almost.,Where's Arya?
descends the stairs with MISSANDEI and they begin walking with JON. They walk along the beach until they reach a cave. DAVOS is waiting for them with a lit torch.,I wanted you to see it before we start hacking it to bits.
Where in seven hells? Come here.,"I missed you, boy."
Now!,"to Grenn* The outer gate won't hold. Take five men, hold the inner gate."
I know for a fact that some of the officers go to that brothel in Mole's Town.,I wouldn't doubt it.
That's impossible.,I wish it were.
You deserve this. You do. I couldn't be happier for you.,I'm going to refuse him.
A pincer move.,They won't be able to hit us from the sides.
"l did indeed. Perhaps you would be kind enough to assist me. Tell me, did you ever wonder why the men of the Night's Watch take no wives and father no children?",No.
"Ed. You have The Wall. If they try the mammoths again, drop fire on them. If the climbers get too high, drop the scythe on them.",Two brothers now fight with me.
Three coppers.,Here's a silver because the lady likes you.
But… the Dragonglass?,"No one's ever getting that back, now. It wouldn't have mattered anyway, unless we had a mountain of it."
"One blast for a Ranger returning, two for Wildlings, three for...",There's no rider.
That's her decision. She is the queen.,I'm sorry it came to this.
You can give me the North.,"I can't. Even if I wanted to, I'm a bastard. A Snow."
He never said that to me.,"No. No, he never cursed in front of his girls."
"You're the military man, but I know her. If you're her enemy, she'll never stop until she's destroyed you. Everyone who's ever crossed her, she's found a way to murder.",You almost sound as if you admire her.
interrupts VARYS.,I need to go home.
"In any case, candles.",Why's your mother so dead-set on us getting pretty for the king?
"The interesting thing is, our vows never specifically forbid intimate relations with women.",What?
I imagine for most of them it would be an improvement.,This is serious. I wouldn't be here if it weren't.
You'll have as many as we can spare. Hurry back to Last Hearth and bring your people here.,We need to send ravens to the Night's Watch as well. There's no sense in manning the castles anymore. We make our stand here.
Look at me and tell me what you see.,Is this a trick?
Stupid. Smart people don't find themselves in places like this.,I think they were afraid. I think they came here to get away from something. And I don't think it worked.
The Wildlings are over the walls. Ser Alliser has fallen. The castle walls can't stand much longer.,"Ed. You have The Wall. If they try the mammoths again, drop fire on them. If the climbers get too high, drop the scythe on them."
It's not a trick. It's a gift for those who join us.,Dragonglass. A man of the Night's Watch used one of these daggers to kill a walker.
You don't much look like him.,Who's that?
And I have fewer enemies today than I did yesterday.,pauses and doesn't say anything.
This is a great victory.,"Great victory? Mance was testing our defenses. He almost made it through. And he has more giants, he has more mammoths. He has a thousand times as many men. They'll hit us again tonight. Maybe we can hold them off for a day or two, but we can never beat them."
"That doesn't matter. You do. You will find little joy in your command. But with luck, you will find the strength to do what needs to be done. Kill the boy, Jon Snow. Winter is almost upon us. Kill the boy, and let the man be born.",Where are the rest of the free folk now? . Where have they gone? . Who leads them?
Who told you this?,Bran. He saw it.
And your sisters? Do you see them bending the knee?,My sisters will be loyal to the throne.
begins walking close to JON.,looks over the ocean at the dragons flying.
Do you think it's really Tyrion? It could be someone trying to lure you into a trap.,Read the last bit.
How often do these patrols go out?,"It varies. If I knew where on the Wall we were heading, I could tell you."
Giants?,"Have you ever been beyond the Wall, ser?"
Jon…,"Father will let me if you ask him, I know he will."
Stand your ground!,Dany!
Draw. Loose.,"Last time I saw him, he was in the courtyard at Winterfell. He said,  Next time I see you, you'll be all in black. I was jealous of Robb my whole life. The way my father looked at him, I wanted that. He was better than me at everything... fighting and hunting and riding and girls. Gods, the girls loved him. I wanted to hate him, but I never could."
Maybe we don't need to understand any more than that. Maybe that's enough.,Aye. Maybe that's enough.
Of course I did. When he was Hand he sent me off hunting for The Mountain. Your Wildling friend told me the red woman brought you back. Thoros has brought me back six times. We both serve the same lord.,I serve the north.
Are you that afraid of it?,That's enough.
"No, we couldn't. This is their country. They know where to walk, where not to walk. I've lost good men who fell into a crevasse they didn't see till they were in it.",My father always said I'm of the North.
There is none.,We should burn them.
Greyguard is a ruin.,"Yes, the fort is in a sorry state. Restore it as best you can. First Builder Yarwyck can spare ten of his -"
A sword for the wall?,I already have one.
Jon Snow.,You fight well.
I will allow you to mine the Dragonglass and forge weapons from it. Any resources or men you need I will provide for you.,Thank you.
And now our watch begins.,Gilly? Little Sam?
They'll bloody try.,Sam?
So we fight and die or we submit and die. I know my choice. A soldier should know his.,SNOW is standing on the edge of a cliff looking towards the ocean. DROGON roars and flies over him with DAENERYS on his back. DROGON lands next to JON and charges towards him. DROGON opens his jaws and roars in JON's face. DROGON creeps closer until he is inches from JON. JON removes his glove and slowly extends his hand toward DROGON. DROGON lowers his head and allows JON to touch him. DAENERYS looks surprised and steps down from her mount. DROGON turns and flies away.
Rangers returning.,Help him.
He won't just kill ya. They'll boil you. They'll filet you. They'll make it last days!,You're right. It's a bad plan. What's your plan?
And?,We sent raven to Houses Manderly- -
I could teach you how to do it.,I know how to do it.
Neither. Both.,Move!
The bastard of Winterfell.,The dwarf of Casterly Rock.
"Samwell, you will assist me in the rookery and library.",Will I serve the Lord Commander's meals and fetch hot water for his bath.
You and Stannis cut through us like piss through snow.,"We're digging trenches all along our flanks. They won't be able to hit us the way that Stannis hit you, in a double envelopment."
"On the morning of my 18th nameday, my father came to me. You're almost a man now, he said, but you're not worthy of my land and title. Tomorrow, you're going to take the black, forsake all claim to your inheritance and start north. If you do not, he said, then we'll have a hunt and somewhere in these woods your horse will stumble and you'll be thrown from your saddle to die. Or so I'll tell your mother. Nothing would please me more. Ser Alliser's going to make me fight again tomorrow, isn't he?","Yes, he is."
Have you forgotten what happened to our grandfather? The Mad King invited him to King's Landing and roasted him alive.,I know that.
No!,Take my hand!
Now you're defending her?,You?
You're wearing a black cloak again.,I've been sent to negotiate with you.
"That's not his way. He knows the North is watching. If the other houses sense weakness on his part, they'll stop fearing him. He can't have that. Fear is his power.","It's his weakness, too. His mean don't want to fight for him. They're forced to fight for him. If they feel the tide turning..."
You were cruel.,Cruel! Sam are you in such a hurry to lose a hand?
Don't you think it's a little bit unfair? Making us take our vows while they sneak off for a little sally on the side?,Sally on the side?
"turns and walks away. BAELISH enters his room and shuts the door. ARYA continues watching. A moment later BAELISH opens the door and exits the room, locking the door as he leaves. After he is gone ARYA walks to the door and produces a lockpick from her sleeve. She enters the room and begins searching for the raven scroll. She opens a cabinet but finds nothing of value. She checks another cabinet, then looks in the fireplace and above the mantle finding nothing. She lifts up the mattress and finds a small hole cut into the bedding. She reaches in and retrives the raven scroll. She unrolls it and reads the contents.",and the raiding party land on the Beach of Eastwatch. JON looks up at the castle. The men collect their equipment and make for the castle.
There are good lands south of the wall. The Night's Watch will allow you through the tunnel and allow your people to farm those lands.,"I knew Mance Rayder. He never wanted a war with the Night's Watch, he wanted a new life for his people. For you. We're prepared to give you that new life."
You know I know you're low on arrows. You're low on oil. You're low on men. How many are left? 50?,I told Tormund and Orell. We have more than a thousand men.
"You never killed a woman before, did you? You don't need to do it. Mance would take you. I know he would. There's secret ways. The crows would never catch us.",I'm as much a crow as they are.
Hmm.,You seemed to like it.
That half-handed cunt killed friends of mine. Friends twice your size.,My father told me big men fall just as quick as little ones if you put a sword through their hearts.
"Oh, I am afraid. No shame in that. How will they do it? Beheading? Hanging?",They'll burn you alive.
Did you bring any wine?,No.
"I will follow you anywhere, you know that. But they killed Grenn. And they killed Pyp. . They killed 50 of our brothers. I can't forget that. I can't forgive it.","You were at the Fist of the First Men. If we abandon them, you know what they become. We can learn to live with the wildlings or we can add them to the army of the dead. Whatever they are now, they're better than that."
"We're all human. Oh, we all do our duty when there's no cost to it. Honor comes easy then. Yet sooner or later in every man's life there comes a day when it is not easy. A day when he must choose.",And this is my day? ls that what you're saying?
How can we be?,We're all breathing.
"She hasn't seen anyone since we returned. Hasn't left her chambers, hasn't accepted any food.",She shouldn't be alone.
You have many enemies in Castle Black. Have you considered sending Alliser Thorne elsewhere? Give him command of Eastwatch-by-the-Sea.,I heard it was best to keep your enemies close.
We should burn the bodies,You should
Don't you know?,Know what?
grabs THEON by his shirt and pulls him face to face.,What you did for her is the only reason I'm not killing you.
You want us to man the castles for you?,Last time we saw the Night King was at Hardhome. The closest castle to Hardhome is Eastwatch-by-the-Sea.
l know what a Hand needs.,Ghost?
"Then Lord Stark is one man in 10,000. Most of us are not so strong. What is honor compared to a woman's love? And what is duty against the feel of a newborn son in your arms? Or a brother's smile?",Sam told you.
No matter. I shall take back the North from the thieves who stole it. Tywin Lannister is dead. He can't protect them now. I shall mount Roose Bolton's head on a spike. But if I'm to take Winterfell I'll need more men.,The men of the Night's Watch are sworn to play no part--
"King Snow, isn't it? No? That doesn't sound right. King Jon?",It doesn't matter.
Of course.,He'll never walk again.
So what are you gonna do?,I'm gonna hope they don't learn how to climb the wall.
and DAENERYS go to a further chamber in the cave. There are murals painted on the walls of Dragonglass.,The Children of the Forest made these.
I'm tired of fighting,It's all I've done since I left home I've killed brothers of the Night's Watch I've killed wildlings I've killed men that I admire I hanged a boy younger than Bran I fought and I lost
"Not even thank you? If it weren't for me you'd have been slaughtered at that battlefield. You have many enemies, My King, but I swear to you I'm not one of them. I love Sansa as I loved her mother.",Touch my sister and I'll kill you myself.
Did you see three dragons flying overhead when you arrived?,I did.
"Oh, you can. And you will. l wouldn't be standing here if it wasn't for you and your beast. A bloody dead man tried to kill me, so you'll take it. l'll hear no more about it. ls that understood?","Yes, my lord."
Wear it Burn it Whatever you want You have Castle Black,My watch is ended
There's a hut on the west side of the keep. We should steer clear of it.,Why?
Is Orell right? Are you still a crow? It's time you proved yourself.,Ygritte.
"Winterfell is our home It's ours and Arya's and Bran's and Rickon's Wherever they are, it belongs to our family We have to fight for it",I'm tired of fighting
"You broke my nose, bastard!",It's an improvement.
I can fight.,Have you ever held a sword before? OLLY I was the best archer in our hamlet.
"You're brave. Stupid, but brave.",We start again at first light. Get some sleep.
When does Aemon think you'll be able to use that hand?,"Soon, he says."
King of the Andals and the First Men …,Father will know if you do.
A lord? Nothing at all?,It's not important.
A good heart? I've noticed you starring at that good heart.,"There's no time for that. I saw the Night King, Davos. I looked into his eyes. How many men do we have in the north to fight him? 10,000? Less?"
My scouts found them a mile south of the Wall. Said they were on their way here.,You're The Hound. I saw you once at Winterfell.
"I like you, boy. But if you lie to me, I'll pull your guts out through your throat.",A thousand men.
Me too.,stops walking and loosens the belt holding his sword.
He was their king. Last of a bloodline that stretches back before the First Men.,Grenn came from a farm.
When?,A very long time ago.
"Okay, come on. Let's get them inside.","I want every northern maester to scour their records for any mention of dragonglass. Dragonglass kills white walkers. It's more valuable to us now than gold. We need to find it, we need to mine it, we need to make weapons from it. Everyone aged 10 to 60 will drill daily with spears, pikes, bow and arrow."
I think about that all the time. I don't think it's our purpose to understand except one thing. We're soldiers. We have to know what we're fighting for. I'm not fighting so some man or woman I barely know can sit on a throne made of swords.,So what are you fighting for?
My dress is made of the purest silk from Tralalalaleeday.,I'd like to see you in a silk dress.
We were guests of the mutineers at Craster's Keep.,And the mutineers stayed?
Now and always!,"You are my sister, but I am king now."
What's one old man doing with eight horses?,He breeds them for the Watch.
"The Lord Commander, , we are sworn to protect -",Sam we can't take her -
You can't leave us now. We need you here.,Move.
I always wanted to do the right thing. Be the right kind of person. But I never knew what that meant. It always seemed like there's like there was an impossible choice I had to make. Stark or Greyjoy.,Our father was more of a father.
Hurry up!,No! Get back! Get back!
"Thank you for returning Lady Bolton safely. Now, dismount and kneel before me, surrender your army and proclaim me the true Lord of Winterfell and Warden of the North. I will pardon you for deserting the Night's Watch. I will pardon these treasonous lords for betraying my house. Come, bastard, you don't have the men, you don't have the horses, and you don't have Winterfell. Why lead those pour souls into slaughter? There's no need for a battle. Get off your hose and kneel. I'm a man of mercy.",You're right. There's no need for a battle. Thousands of men don't need to die. Only one of us. Let's end this the old way. You against me.
"You will watch as my soldiers take turns raping your sister. You will watch as my dogs your wild little brother. Then I will spoon your eyes from their sockets and let my dogs do the rest. Come and see. Ramsay Bolton, Lord of Winterfell and Warden of the North.",Lord of Winterfell and Warden of the North.
I'm the First Ranger. My job is out there. There have been disturbing reports.,What kind of reports?
"Grenn's a ranger.You're a steward. Maybe you forgot that while you were off with your wildling bitch, but I didn't.",Someone has to train them.
"In the name of the one true queen, Daenerys Targaryen, I sentence you to die.",Grey Worm!
Who are you?,Your steward.
I've been talking to your sworn brothers. Many of them love you.,They're good men.
How many wildlings did you save?,They didn't come here to serve me
"No, you're really not.",And what did I get for it? An arrow six inches from my heart.
Then send an emissary. Don't go yourself.,Daenerys is a queen. Only a king can convince her to help us. It has to be me.
"Ygritte, you know I didn't have a choice. You always knew who I was, what I am.",I have to go home now. I know you won't hurt me.
Preparing for a night with your family. I've always wanted to see the Wall.,You're Tyrion Lannister. The queen's brother?
62.,62?
Nobody does. Until they ride a dragon.,What if he doesn't want me to?
"When I was Ramsay's prisoner, Yara tried to save me. She's the only one who tried to save me. She needs me now.","So, why are you still talking to me?"
Go on.,I don't know how to ride a dragon.
Needed below? Yes. Yes.,Archers! Knock your arrows! Draw! Loose!
Why?,I swore a vow. . I loved another.
Too heavy for me.,Where were you before? I couldo ve used your help with Sansa.
Lord Tyrion has invited me to Dragonstone to meet with Daenerys and I'm going to accept.,"We need this Dragonglass, My Lords. We know that Dragonglass can destroy both White Walkers and their army. We need to mine it and turn it into weapons."
"Good. Next time I see you, you'll be all in black.",It was always my color.
There goes your pet.,He's not a pet.
You're telling me you saw one of them? And why would that make you desert your brothers?,"Because when I told the Lord Commander, he already knew. Thousands of years ago, the First Men battled the White Walkers and defeated them. I want to fight for the side that fights for the living. Did I come to the right place?"
But you were. You've always been.,"I gave up my crown, Sam."
"I did. And I'd do it again, now that I've seen what I've seen. I chose my fate. The people of King's Landing did not.",I can't justify what happened. I won't try. But the war is over now.
hands the sword to JORAH. JORAH slowly takes the sword and looks it over in his hands.,Lord Commander Mormont thought you'd never come back to Westeros.
"You're a good lad. Truly, you are. But if you can't understand why I won't enlist my people in a foreigner's war, there's no point explaining.",I think you're making a terrible mistake.
I didn't touch her!,No you just want to steal her. What do you think Craster cuts off for that?
I was with you at Hardhome We saw what's out there We know it's coming here How can you leave us now?,I did everything I could You know that
Go on.,It's just more of the same.
You and your roads. Is that how you lot do your fighting? You march down the road banging drums and waving banners?,"Most of the time, yes."
"Afterwards, after they stabbed you, after you died, where did you go? What did you see?",Nothing There was nothing at all
The answer is no.,"Lord Glover, if you could just hear us out."
"You're good at this, you know.",At what?
You trust me Jon Snow?,Does that make me a fool?
We have to make due with what we've got.,glances at GENDRY. GENDRY backs away from JON and TORMUND.
You are to me.,You're the Lady of Winterfell. You deserve it. We're standing here because of you. The battle was lost until the Knights of the Vale rode in. They came because of you. You told me Lord Baelish sold you to the Boltons.
You don't understand what you'd be giving up. We have no families. None of us will ever father sons.,I don't care about that.
Lucky you've got plenty of padding. We're taking you back to where you belong.,l belong with my brother.
I do know some things. I know I love you.,I know you love me. But I have to go home now.
We're all the same to them - meat for their army.,Do you think anyone got away?
"Perhaps you should fly to Winterfell, Your Grace. You have many enemies in the North. Thousands fell fighting your fatherAll it takes is one angry man with a crossbow. He'll see your silver hair on the kingsroad and know that one well-placed bolt will make him a hero. The man who killed the conqueror.","It's your decision, Your Grace. But if we're going to be allies in this war, it's important for the Northerners to see us as allies. If we sail to White Harbor together, I think it sends a better message."
It was necessary.,"Necessary? Have you been down there? Have you seen? Children, little children, burned!"
"The sun's going down, Jon Snow. And your friends are nowhere close.",I'll find them.
"So they will not love. Love is the death of duty. lf the day should ever come when your lord father was forced to choose between honor on the one hand and those he loves on the other, what would he do?","He would do whatever was right, no matter what."
You just came up with that?,Maester Aemon said it a long time ago.
"Sansa, is she all right?",grabs THEON by his shirt and pulls him face to face.
He's made of Valyrian steel. How many Valyrian steel swords are left in the Seven Kingdoms?,Not enough. The first Lord Commander in history to sacrifice the lives of sworn Brothers to save the lives of Wildlings. How's it feel to be friends with the most hated man in Castle Black?
My father always said I'm of the North.,I wasn't joking.
What's swooning?,Fainting.
The north didn't raise you from the dead.,The lord of light never spoke to me. I don't know anything about him. I don't know what he wants from me.
You said you don't have enough men.,We'll fight with the men we have. Unless you'll join us.
You're a lot shorter.,stops smiling and pauses a moment. Then he chuckles.
looks over the ocean at the dragons flying.,I never thought that dragons would exist again. No one did. The people who follow you know that you made something impossible happen. Maybe that helps them believe that you can make other impossible things happen. Build a world that's different from the shit one they've always known.
"You were right from the beginning. If I had trusted you, everything would be different.","So, what now?"
People thought dragons were gone forever but here they are. Perhaps we should all be examining what we think we know.,You've been talking to Tyrion?
"Welcome home, Lady Stark. The North remembers.",Sam. . Maester Aemon?
Are you all right? Come with me. Come on.,We lost four brothers?
"A bastard boy with nothing to inherit, off to join the ancient order of the Night's Watch, alongside his valiant brothers-in-arms.",The Night's Watch protects the realm from...
"You admire him, don't you?",I respect him.
Wait outside.,Lord Commander-
This one is maybe not so smart.,Davos says he is a strong fighter.
"From what we can tell, all of them. Mance has gathered them all like deer against the wolves. They're almost ready to make their move.",Where?
The Wall isn't going anywhere.,I'm ready to swear your oath.
"They'd rather burn than fight for me, so be it. I leave their fate to you. You could execute them, that's the safest course. . Or you could see if this Tormund fellow is more willing to compromise than Mance ever was. I assume the brothers of the Night's Watch would rather see the wildlings dead.","Most of the brothers, yes. There's little love for the free folk here. ."
Grenn's father left him too... Outside a farmhouse when he was three. Pyp was caught stealing a wheel of cheese. His little sister hadn't eaten in three days. He was given a choice,They hate me because I'm better than they are.
Your brothers desert you? I can tell you which way to go.,We'll stop here. Too dark to go any farther today.
Hard to lead when you're in chains.,What if I unchained you?
He's the one true king. He has the blood right to that throne.,I've sworn to stay clear of the politics of the Seven Kingdoms.
"You have to keep moving. That's the secret. Walking is good, fighting is better, fucking is best.",There's not another woman within 100 miles of here.
Right here.,Your Grace.
"When we first met you were my prisoner. And now, for our last meeting…",This doesn't have to be our last meeting.
It's you and me that matters to me and you. Don't ever betray me.,I won't.
You can't lead a raid beyond the wall. You're not in the Night's Watch anymore. You're King in the North.,I'm the only one here whose fought them. I'm the only one here who knows them.
I came out here to brood over my failure to predict the Greyjoy attack. You're making it difficult. You look a lot better brooding than I do. You make me feel like I'm failing at brooding over failing.,I'm a prisoner on this island.
I know.,The others?
"Thank you, Nymeria. Septa Mordane says I have to do it again. My things weren't properly folded, she says. Who cares how they're folded?! They're going to get all messed up anyway.",It's good you've got help.
I know you love her. I love her too. Not as successfully as you. But I believed in her with all my heart. Love is more powerful than reason. We all know that. Look at my brother.,Love is the death of duty.
Fucking die!,We need to fall back! Fall back behind the wall! Fall back!
Did you see her again at Castle Black?,Yes.
"The moment the gates fell, the battle was over.",She saw her friend beheaded. She saw her dragon shot out of the sky.
"Thank you, Ser Alliser.","Ahem, brothers."
How does it feel knowing those men all died so you could skip through the snow with your little savage girl?,I didn't.
My mother?,She was very kind.
"They may well be loyal, but how many rose up against the Boltons when they betrayed your family? I may not know the North, but I know men. They're more or less the same in any corner of the world and even the bravest of them don't want to see their wives and children skinned for a lost cause. If Jon's going to convince them to fight alongside him, they need to believe it's a fight they can win.","There are more than three other houses in the North -- Glover, Mormont, Cerwyn, Mazin, Hornwood. Two dozen more. Together they equal all the others. We can start small and build."
And then they broke faith.,I'm not going to strip these families of their ancestral homes because of the crimes of a few reckless sons.
I tried to make peace with Cersei. She used their innocence as a weapon against me. She thought it would cripple me.,And Tyrion?
Jon.,Where in seven hells? Come here.
The traitor who plunged a dagger into Robb Stark's heart. Don't you want to avenge him?,"I want a great many things, your grace. But I'm a sworn brother of the Night's Watch now."
"He conspired behind my back with my enemies. How have you treated people who've done the same to you, even when it broke your heart?",Forgive him.
Have other northern houses pledged to fight for you?,House Mormont.
I think so.,First lesson
"They're beautiful, aren't they?","That wasn't the word I was thinking of, but, yes, they are. Gorgeous beasts."
shakes his head.,"Well, that's a problem."
Think they're out looking for you?,Yes.
He always knows where I am.,"We'll put you in the crypt, where it's safest."
If you want to join them.,To protect them.
I'd like to speak alone.,"Olly is my steward now, as I was Lord Commander Mormont's. I want him to attend my meetings, to learn from men with experience. One day, he might command."
and DAENERYS look back at the wall with the Night King.,Because the enemy is real. It's always been real.
I can't.,"You can. You can forgive all of them, make them see they made a mistake. Make them understand."
"And your father- your real father was Rhaegar Targaryen. You've never been a bastard. You're Aegon Targaryen, true heir to the Iron Throne. I'm sorry, I know it's a lot to take in.",My father was the most honorable man I ever met. You're saying he lied to me all my life.
"A long and bloody tale. To be honest, I was drunk for most of it.",My bannermen think I'm a fool for coming here.
Come with you where?,There are good lands south of the wall. The Night's Watch will allow you through the tunnel and allow your people to farm those lands.
"No, you don't understand. He's killing them, all the boys...",You know.
I remember what it said. “Bear Island knows no king but the King in the North whose name is Stark.”,"Robb is gone, but House Stark is not. And it needs your support now more than ever. I've come with my sister to ask for House Mormont's allegiance."
