input,response
There's a difference between sneaking off to the Mole's Town brothel and sleeping with the enemy.,"While we sit here debating which rules I broke, Mance Rayder marches on the Wall with an army of 100,000."
Impossible. You can't get 50 wildlings together before they start killing each other.,"100,000. He's united the Thenns, the Hornfoots, the ice-river clans. He has giants fighting for him."
Giants?,"Have you ever been beyond the Wall, ser?"
"I commanded the City Watch of King's Landing, boy.",And now you're here. You must not have been very good at your job.
How dare you?!,There's a band of wildlings south of the Wall already led by Tormund Giantsbane. I killed their warg and three others. They shot me full of arrows. Their orders are to attack Castle Black from the south when Mance hits it from the north. The signal for the attack will be a bonfire. Mance said it would be the greatest fire the North has ever seen. That's the truth. All the truth.
There's a band of wildlings south of the Wall already led by Tormund Giantsbane. I killed their warg and three others. They shot me full of arrows. Their orders are to attack Castle Black from the south when Mance hits it from the north. The signal for the attack will be a bonfire. Mance said it would be the greatest fire the North has ever seen. That's the truth. All the truth.,Do you intend to execute me or am I free to go?
"You're a champion of the common people, Lord Snow. What do you say to Brother Pyp's proposition?","Mance Rayder is coming. If the wildlings breach the Wall, they'll roll over everything and everyone for 1,000 Miles before they reach an army that can stop them."
Rangers returning.,Help him.
We were guests of the mutineers at Craster's Keep.,And the mutineers stayed?
They're not going anywhere. They've got Craster's food and his wives. Poor girls. Never thought they'd miss their daddy. Karl's running things now. He's the one who put a knife through Craster's mouth.,We need to ride north and kill them all.
"We just went over this, boy. -Justice can wait.","It's not about justice. I told the wildlings we had over 1,000 men at Castle Black alone. Karl and the others know the truth as well as we do. How long do you think they'll keep that information to themselves when the wildlings are peeling their fingernails off? Mance has all he needs to crush us, he just doesn't know it yet. As soon as he gets his hands on them, he will. Then he'll throw his full strength at us. And even if every one of us kills 100 wildlings, there's still not a thing we can do to stop them."
Shh. Don't you worry yourself about all that. You just do what needs to be done.,Bring it through! And again.
Bring it through! And again.,Very nice. Good.
Very nice. Good.,A lot of wildlings fight with a weapon in each hand. First thing you want to do is disarm them to try and even the odds.
A lot of wildlings fight with a weapon in each hand. First thing you want to do is disarm them to try and even the odds.,Let's see what you can do.
Let's see what you can do.,"Olly, you just watch for now."
I can fight.,Have you ever held a sword before? OLLY I was the best archer in our hamlet.
"I believe you. We'll go hunting for rabbits one day. Right now, watch and learn.","You two. Take it slow, try and disarm each other."
"You two. Take it slow, try and disarm each other.",You know how to fight. You could have gone easier on him.
Lord Snow. What do you think you're doing?,Grenn and I were helping them.
"Grenn's a ranger.You're a steward. Maybe you forgot that while you were off with your wildling bitch, but I didn't.",Someone has to train them.
"A bastard, eh? Took you for highborn.",My father was highborn. My mother wasn't.
Name's Locke.,Jon Snow.
Jon Snow.,You fight well.
I should neverhave taken her away.,She wasn't safe here.
"She's not safe out there. I should have known. You told us there were wildlings south of the Wall. If they're raiding the smaller villages, Mole's Town could be next.",Castle Black could be next.
I should go back for Gilly.,We have orders. No one's to leave the castle.
I remember when you disobeyed orders and rode south to help Robb.,"And I remember who came after me and brought me home. I know how hard it is, Sam, believe me. When you told me about Bran going beyond the Wall, all I could think about was getting my strength back so I could go and find him."
"I wish I could have convinced him to come back with me. I tried. Really, I did.",How fast could they travel? A crippled boy being pulled on a sledge by a simpleton?
I don't know. They'd pass wildling villages. They could try to find shelter at one of them.,The wildlings have joined up with Mance. Every village or sheltered place will be deserted. Except...
"Your foray to Craster's Keep, I'll sanction it. But I won't order anyone to go with you. Volunteers only.","Thank you, Ser Alliser."
"Thank you, Ser Alliser.","Ahem, brothers."
"Ahem, brothers.","I'm going beyond the Wallto Craster's Keep. I'm going to capture the mutineers holed up there or kill them. I'm asking for volunteers to come with me. There's 60 miles of wilderness between here and Craster's and Mance Rayder has an army bearing down on us, but we have to do this. Our survival may depend on us getting to these mutineers before Mance does. They know the Wall. They know our defenses. If Mance learns what they know, we're lost. But if that's not enough, then consider this. If the Night's Watch are truly brothers, then Lord Commander Mormont was our father. He lived and died for the Watch and he was betrayed by his own men. Stabbed in the back by cowards. He deserved far better. All we can give him now is justice. Who will join me?"
"I'm going beyond the Wallto Craster's Keep. I'm going to capture the mutineers holed up there or kill them. I'm asking for volunteers to come with me. There's 60 miles of wilderness between here and Craster's and Mance Rayder has an army bearing down on us, but we have to do this. Our survival may depend on us getting to these mutineers before Mance does. They know the Wall. They know our defenses. If Mance learns what they know, we're lost. But if that's not enough, then consider this. If the Night's Watch are truly brothers, then Lord Commander Mormont was our father. He lived and died for the Watch and he was betrayed by his own men. Stabbed in the back by cowards. He deserved far better. All we can give him now is justice. Who will join me?",I can't let a recruit come north of the Wall.
"Then let me say my vows. If it's a fight you're heading for, then you need men who know how.","Thank you, brothers."
You do move quiet.,How many?
There's a hut on the west side of the keep. We should steer clear of it.,Why?
New moon tonight.,Get some rest. We move at sundown.
You.,Are you all right? Come with me. Come on.
Are you all right? Come with me. Come on.,We lost four brothers?
What the seven hells could do that to a man?,I count ten dead mutineers.
Jon.,Where in seven hells? Come here.
Where in seven hells? Come here.,"I missed you, boy."
What should we do with this lot?,It's not safe for you here on your own. Mance Rayder has an army heading this way and there's worse out there than Mance. Come with us to Castle Black. We can find you work. Keep you safe.
"Meaning all respect, Ser Crow, Craster beat us and worse. Your brother crows beat us and worse. We'll find our own way.",You want to stay here in Craster's Keep?
They return!,Greetings.
This is no place for wild beasts. Lock him away or I'll let Hobb throw him in tonight's stew.,"Come on, Ghost."
"Come on, Ghost.",Mance's army was closing in on Craster's Keep when we left. We saw their campfires from Osric's Hill. They'll reach the Wall before the next full moon.
"I'm surprised you didn't ride over and say hello. The King-beyond-the-Wall is your old friend, isn't he?",We need to prepare.
We've been preparing.,We should seal the tunnel. Plug it with rocks and ice. Flood it and let it freeze.
And how would we range north?,We wouldn't.
"This castle has stood for thousands of years. The Night's Watch has defended her for thousands of years. And in all those centuries, we have never sealed the tunnel.","Have you ever seen a giant, Ser Alliser? I have."
The bars on those gates are four inches thick. Cold-rolled steel.,They won't stop them.
"Remind me which order you belong to, Lord Snow.",The stewards.
Are the stewards responsible for maintaining the tunnel?,No.
Who would that be?,The builders.
I should never have left her there.,You couldn't have known.
We can't even guard Mole's Town.,"We can't go after them, you know that. That's what they want."
She might have.,"If they hit Mole's Town, then we're next. Mance's army must be close."
What was she like?,She...she had red hair.
Oh? How big were her feet?,Well what do you want me to say?
I want you to tell me what it was like to have someone. To be with someone. To love someone and have them love you back. We're all gonna die a lot sooner than I'd planned. You're the closest I'll ever get to know it.,So you and Gilly never-
No...she just had a baby! ...and she never offered.,"But if she had, you wouldo ve? You'd have broken your vows?"
"The interesting thing is, our vows never specifically forbid intimate relations with women.",What?
"I shall take no wife yes, that's in there, there's no denying that. I shall father no children it's very specific. But what our vows have to say about other...activities...is open to interpretation.",I don't think Ser Alliser cares much for interpretation.
"Anyway, there's nothing for him to interpret. We didn't. So what's it like?","It's...there's this person, this whole other person. And you're wrapped up in them and they're wrapped up in you and...you...for a little...for a little while you're more than just you, you're...well I don't know, I'm not a bleedin' poet!"
"No, you're really not.",And what did I get for it? An arrow six inches from my heart.
There'll be arrows for all of us soon I imagine.,There will.
They've already done the worst thing to me they could ever do.,"Go get some sleep, Sam. I'll take this watch."
Pick up the pace!,"There we go, boys. That's one. There's two. Come on, let's get the next lot. That's the last of the oil, Ser Alliser."
A hundred thousand you say?,Yes sir.
You can say it if you like. We shouldo ve sealed the tunnel while we had the chance like you suggested.,"It was a difficult decision either way, Ser."
"No discipline. No training. Gang of thieves, that's all this is. I commanded the city watch of King's Landing. Those men obeyed orders.",We can't just let them attack the gate!
"The bars of those gates are four inches of cold, rolled steel.","Those are giants riding mammoths down there. Do you think your cold, rolled steel's gonna stop them?"
Needed below? Yes. Yes.,Archers! Knock your arrows! Draw! Loose!
Archers! Knock your arrows! Draw! Loose!,They won't summit before dawn.
How do you know that?,Because I've made that claim.
I think they're in a bigger hurry than you were.,Knock! Draw! Loose!
"You're alright. You're alright. I'll get help. Shh, shh. Maester Aemon is coming, he's gonna make it alright.",Now!
Now!,"to Grenn* The outer gate won't hold. Take five men, hold the inner gate."
Alright.,grabs Grenn's arm* Hold the gate. If they make it through...
"They won't. Come on Hill! And you Cooper! You three, on me! Come on you lazy bastards!",Oil!
"And find a weapon, Olly. Fight them!",What are you doing up here?
The Wildlings are over the walls. Ser Alliser has fallen. The castle walls can't stand much longer.,"Ed. You have The Wall. If they try the mammoths again, drop fire on them. If the climbers get too high, drop the scythe on them."
"Ed. You have The Wall. If they try the mammoths again, drop fire on them. If the climbers get too high, drop the scythe on them.",Two brothers now fight with me.
"And win no glory. I shall live and die at my post. I am the sword in the darkness. I am the watcher on the walls. I am the shield that guards the realms of men. I pledge my life and honor to the Night's Watch, for this night and all the nights to come!",to Sam* I don't want you out there.
You can't protect me forever. There won't be anywhere to hide if the castle falls.,I need him more than I need you.
Jon Snow.,"No, shh, don't talk."
We shouldo ve stayed in that cave.,We'll go back there.
Don't cheer too loud. They still outnumber us a thousand to one.,"Tormund. It's over, let it end."
This is how a man ends.,Put him in chains. We'll question him later.
I shouldo ve thrown you from the top of your wall boy!,"Aye, you shouldo ve."
We held them off.,For one night.
This is a great victory.,"Great victory? Mance was testing our defenses. He almost made it through. And he has more giants, he has more mammoths. He has a thousand times as many men. They'll hit us again tonight. Maybe we can hold them off for a day or two, but we can never beat them."
Where are you going?,I'm going to find Mance.
To...you can't do that. No one gave you any orders.,"Who's left to give orders? The Wildling army is only an army because of Mance. He united a hundred warring tribes. Without Mance they lose their leader. They lose their purpose, they go back to fighting each other, scatter back to their home."
Without Mance? You're going to kill him?,I'm going to try.
"They'll never let you within a hundred yards of him. And if you did, even if you managed to kill him.",He'll kill me. If I don't go he'll kill me anyway. They'll kill the rest of us too.
He won't just kill ya. They'll boil you. They'll filet you. They'll make it last days!,You're right. It's a bad plan. What's your plan?
You're right. It's a bad plan. What's your plan?,"They held the gate. Get some brothers down here to help you. You need to burn the bodies. Raise the outer gate, then lower it again as soon as I'm out."
What are you doing?,I promised Jeor I'd never lose it again. *he hands the sword to Sam* In case I don't come back.
You're wearing a black cloak again.,I've been sent to negotiate with you.
"It appears my trusting nature got the better of me. It's happened before. I was hoping your loyalty was real when you pledged yourself to us, Jon Snow, truly I was.","The Halfhand ordered me to join your army and bring back whatever information I could to Castle Black. He made me kill him so you'd trust me. I was loyal, to him and to my Night's Watch vows."
"All of your vows? She wasn't enough to turn ya, eh? Were you enough to turn her?",She put three arrows in me when I escaped.
Did you see her again at Castle Black?,Yes.
And?,She's dead.
Your doing?,No.
Ygritte.,Ygritte.
Ygritte.,That's not wine.
"No, it's a proper Northern drink, Jon Snow. You did well. Fought hard. Killed some of our strongest men. One of our giants went into your tunnel and never came out again. Mag the Mighty.",He's dead. He killed my friend Grenn.
He was their king. Last of a bloodline that stretches back before the First Men.,Grenn came from a farm.
Mag and Grenn.,Grenn and Mag.
"Kullback, could I trouble you for something to eat? I don't imagine our guest has eaten anything in quite some time. So. You're here to strike a bargain?",Turn your army around and go home.
You know I know you're low on arrows. You're low on oil. You're low on men. How many are left? 50?,I told Tormund and Orell. We have more than a thousand men.
You attacking us?,"No, it's like you said, we don't have the men."
What are men of the Night's Watch doing in a Wildling camp?,I was sent to discuss terms with the king beyond the wall.
You're speaking to the one true king boy. You'll address him as your grace.,"I know he's the king. My father died for him. My name is Jon Snow, your grace. I'm Ned Stark's son."
Your father was an honorable man.,"He was, your grace."
What do you think he'd have done with him?,"I was this man's prisoner once. He couldo ve tortured me, he couldo ve killed me, but he spared my life. I think my father wouldo ve taken him prisoner, listened to what he had to say."
Very well. *to Davos* Take him.,"Your grace. If my father'd seen the things that I've seen, he'd also tell you to burn the dead before nightfall. All of them."
Your old blind man patched me up. Why?,"He's sworn to treat all wounded men, friend or foe."
You want me alive so you can torture me?,No one's going to torture you.
So how do we die? Hanging? Beheading? Drop us from the top of the wall?,I don't know what happens to the prisoners.
Who decides?,I suppose Stannis does.
He your king now?,I don't have a king.
"You spent too much time with us, Jon Snow. You can never be a kneeler again.",We're gonna burn the bodies of your dead. Do you want to say any words over them?
Words? What kind of words?,Funeral words. I don't know how the Free Folk do it.
Do what?,Say farewell.
Snow. Did you love her? She loved you.,She told you?
I do not know. I must go.,Get your shield up.
It's too heavy.,"If it wasn't heavy it wouldn't stop a sword, now get it up."
"If it wasn't heavy it wouldn't stop a sword, now get it up.",Come. Try it again. Drive at me. Keep your shield up. Or I'll ring your head like a bell.
"You can't leave, they'll execute you.","Good, good, pivot! Don't forget to pivot! Shield up!"
The king wants a word.,"You're not cold, my lady?"
Are you a virgin?,No.
You know who rules at Winterfell now?,Roose Bolton.
The traitor who plunged a dagger into Robb Stark's heart. Don't you want to avenge him?,"I want a great many things, your grace. But I'm a sworn brother of the Night's Watch now."
I've been talking to your sworn brothers. Many of them love you.,They're good men.
Many don't. You were seen taking the body of a wildling girl north of the Wall. Why?,It's where she belonged.
Some of the Night's Watch feel you have too much affection for the wildlings.,They were born on the wrong side of the wall. That doesn't make them monsters.
No matter. I shall take back the North from the thieves who stole it. Tywin Lannister is dead. He can't protect them now. I shall mount Roose Bolton's head on a spike. But if I'm to take Winterfell I'll need more men.,The men of the Night's Watch are sworn to play no part--
I'm not talking about the damn Night's Watch. I'm talking about the wildlings.,"Your grace, you want the wildlings to march in your army?"
I'll offer them their lives and their freedom if Mance kneels before me and swears his loyalty.,I don't think that's likely.
"You admire him, don't you?",I respect him.
He likes you. Convince him to bend the knee...,Your grace…
or he burns.,How much time do I have?
So here we are.,Here we are.
"When we first met you were my prisoner. And now, for our last meeting…",This doesn't have to be our last meeting.
"No, but it will be.",You know what Stannis wants?
He wants me to bend the knee. And he wants the free folk to fight for him. I'll give him this much,Shouldn't a king be bold?
"Oh, aye. I respect him. If he gets what he wants, I expect he'll be a better ruler than the fools sitting on the Iron Throne the last hundred years. But I'll never serve him.",You told me you weren't here to conquer. You told me your people have bled enough.
That's right. But I don't want them bleeding for Stannis Baratheon either.,"You spent your life convincing 90 clans to come together for the first time in history. Thenns and Hornfoots, the ice-river clans, even the giants. A life's work uniting them. You didn't do it for power. You didn't do it for glory. You brought them together to save them because none of them will survive the winter, not if they're north of the wall. Isn't their survival more important than your pride?"
Pride? Fuck my pride. This isn't about that.,Then bend the knee and save your people.
They followed me because they respected me. Because they believed in me. The moment I kneel for a Southern king that's all gone.,And how many tens of thousands are out there right now? How many women? How many children? And you won't go out and rescue them because why? You're afraid of looking afraid.
"Oh, I am afraid. No shame in that. How will they do it? Beheading? Hanging?",They'll burn you alive.
"Bad way to go. I'll be honest with you, I don't want to die. And burnt to death, I don't want people to remember me like that. Scorched and screaming. But it's better than betraying everything I believe.","And what happens to your people? You preserve your dignity and die standing, and they'll sing songs about you. “You'd rather burn than kneel. The great hero.” Until winter comes, and the white walkers come for us all, and there's no one left to sing."
"You're a good lad. Truly, you are. But if you can't understand why I won't enlist my people in a foreigner's war, there's no point explaining.",I think you're making a terrible mistake.
"I ordered Mance Rayder burnt at the stake. You prevented that order from being carried out. You showed mercy to Mance Rayder. A king's word is law. Perhaps you should ask Ser Davos how much mercy I show to lawbreakers. Show too much kindness, people won't fear you. If people don't fear you, they don't follow you.","With respect, Your Grace, the free folk will never follow you, no matter what you do. You're the man who burned their king alive."
Who then? You?,No. Only one of their own.
Do you know this wretched girl Lyanna Mormont?,The Lord Commander's niece.
"Lady of Bear Island, and a child of 10. I asked her to commit her house to my cause, that's her response.","Bear Island knows no king but the King in the North, whose name is Stark."
That amuses you?,"I apologize, Your Grace. Northerners can be a bit like the free folk. Loyal to their own."
"Tonight, the Night's Watch elect a new Lord Commander. Ser Alliser Thorne is going to win.",Most likely.
Unpleasant man. He thinks you're a traitor. What's your life going to be like on the Wall with Thorne in command?,"Unpleasant, I expect."
Your bravery made him look weak. He'll punish you for it. I don't punish men for bravery. I reward them.,"I don't doubt it, Your Grace. But I'm a brother of the Night's Watch. I've pledged them my life, my honor, my sword. I don't know what I have left to give you."
You can give me the North.,"I can't. Even if I wanted to, I'm a bastard. A Snow."
He'll make you a Stark with the stroke of a pen?,"It's the first thing I ever remember wanting. I'd daydream that my father would ask the king, and just like that I would never be the bastard of Winterfell again."
You deserve this. You do. I couldn't be happier for you.,I'm going to refuse him.
But you'd be Lord of Winterfell.,"I swore a vow to the Night's Watch. If I don't take my own word seriously, what sort of Lord of Winterfell would I be?"
Lord Commander.,Your Grace.
I'd like to speak alone.,"Olly is my steward now, as I was Lord Commander Mormont's. I want him to attend my meetings, to learn from men with experience. One day, he might command."
Very well. . Have you considered my offer?,I have. And I thank you for it. You do me great honor. All my life I wanted to be Jon Stark.
Say the word and you will be.,But I have to refuse you. I'm Lord Commander of the Night's Watch. My place is here.
I'm giving you a chance to avenge your family. To take back the castle where you grew up. To rule the North.,"I wish I could fight beside you. Believe me, I do. But I swore a sacred vow at the Godswood. I pledged my life to the Night's Watch."
You're as stubborn as your father. And as honorable.,I can imagine no higher praise.
"I didn't mean it as praise. Honor got your father killed. . But if your mindo s made up, I won't try to persuade you.","May I ask, Your Grace, how long you plan to stay at Castle Black?"
Are you bored of us already?,You saved us from Mance Rayder's army. We will never forget that. But it's a question of survival. The Night's Watch can't continue to feed your men and the wildling prisoners indefinitely. Winter is coming.
I know it. We march on Winterfell within the fortnight. Before the snows trap us here.,And the wildlings?
"They'd rather burn than fight for me, so be it. I leave their fate to you. You could execute them, that's the safest course. . Or you could see if this Tormund fellow is more willing to compromise than Mance ever was. I assume the brothers of the Night's Watch would rather see the wildlings dead.","Most of the brothers, yes. There's little love for the free folk here. ."
You have many enemies in Castle Black. Have you considered sending Alliser Thorne elsewhere? Give him command of Eastwatch-by-the-Sea.,I heard it was best to keep your enemies close.
"He sees something in you. . Might not be apparent from his tone, but it's the truth. He believes in you.",I'm sorry I disappointed him.
The king is a complicated man. But he wants what's right for the Seven Kingdoms.,As long as he's ruling them.
He's the one true king. He has the blood right to that throne.,I've sworn to stay clear of the politics of the Seven Kingdoms.
"Wait, that's enough. “The shield that guards the realm of men.” That's what you swore to be. Now I'm not a learned man, but the best way of helping the most people might not be sitting in a frozen castle at the edge of the world. It just might mean wading in the muck, getting your boots dirty, and doing what needs to be doing.",And what needs to be done?
"Welcome home, Lady Stark. The North remembers.",Sam. . Maester Aemon?
He apologizes for not being here. He's not feeling well.,"Take good care of him. . Brothers. As you all know too well, it's long past time to dig a new latrine pit. . First Builder Yarwyck and I have decided to appoint a latrine captain to oversee this crucial task. . Brian. Seems like a good job for a ginger."
"Take good care of him. . Brothers. As you all know too well, it's long past time to dig a new latrine pit. . First Builder Yarwyck and I have decided to appoint a latrine captain to oversee this crucial task. . Brian. Seems like a good job for a ginger.","Ser Alliser. . You have more experience than any other soldier at Castle Black. You proved your valour many times over, while defending the Wall from the wildling attack. I name you First Ranger."
"Ser Alliser. . You have more experience than any other soldier at Castle Black. You proved your valour many times over, while defending the Wall from the wildling attack. I name you First Ranger.",Lord Janos. I'm giving you command of Greyguard.
Greyguard is a ruin.,"Yes, the fort is in a sorry state. Restore it as best you can. First Builder Yarwyck can spare ten of his -"
"Alright, alright! Enough of that.","You mistake me, my Lord. That was a command, not an offer. Pack your arms and armour, say your farewells, and ride for Greyguard."
"I will not go meekly off to freeze and die! Give it to one of the fools who cast a stone for you. I will not have it. Do you hear me, boy? I will not have it!",Are you refusing to obey my order?
You can stick your order up your bastard arse.,Take Lord Janos outside.
Take Lord Janos outside.,"Olly, bring me my sword."
"A disgrace! I have friends, important friends in the capital! You'll see!","If you have any last words, my Lord, now is the time."
You think highly of this boy.,Good.
Lord Ashford. . Lady Caulfield. . Lord Smallwood.,Never even heard of these people.
They haven't heard of you either. . But we need men and they have some.,And how many men does this Lord Mazin have to send us?
More than Lord Wibberley.,Not him.
"I know, I'm sorry, but we need men and supplies. And Roose Bolton is the Warden of The North.",He murdered my brother.
Lord Commander.,How can I help you?
"Come with us when we ride south. . None of us know the castle as well as you do. Its hidden tunnels, its weaknesses, its people. Winterfell was your home once. Don't you want to chase the rats out of it? .",Castle Black is my home now. Night's Watch takes no part in the wars of the Seven Kingdoms.
There's only one war. Life against death. Come. Let me show what you're fighting for. .,"You're gonna show me some vision in the fire. Forgive me, my Lady. But I don't trust in visions."
"The Lord of Light made us male and female. Two parts of a greater whole. We are joining this power. Power to make life, power to make light, and power to cast shadows.",I don't think Stannis would like that very much.
Then we shouldn't tell him. .,I can't.
Why?,I swore a vow. . I loved another.
The dead don't need lovers. Only the living.,I know. But I still love her.
"A Targaryen, alone in the world, is a terrible thing.",Maester Aemon.
Lord Commander.,"Sam, I'd like to speak to the maester alone."
"Sam, I'd like to speak to the maester alone.",How are you feeling?
"Oh, like a hundred-year-old man slowly freezing to death.","I need your advice. There's something I want to do, something I have to do. But it'll divide the Night's Watch. Bitterly. Half the men will hate me the moment I give the order."
"Half the men hate you already, Lord Commander. Do it.",But you don't know what it is.
"That doesn't matter. You do. You will find little joy in your command. But with luck, you will find the strength to do what needs to be done. Kill the boy, Jon Snow. Winter is almost upon us. Kill the boy, and let the man be born.",Where are the rest of the free folk now? . Where have they gone? . Who leads them?
They followed Mance. They won't follow anyone else.,What about you?
Hard to lead when you're in chains.,What if I unchained you?
Why would you do that?,Because you are not my enemy. And I'm not yours.
You sure seemed like my enemy when you were killing my friends.,"For 8,000 years the Night's Watch have sworn an oath to be the shield that guards the realms of men. And for 8,000 years we've fallen short of that oath. You belong to the realms of men. All of you."
And now everything is going to change?,It is.
Why now?,"Because now, , I am Lord Commander of the Night's Watch."
"What would you have me do, , Lord Commander?",I'd have you go north of the Wall. Gather the remaining free folk wherever they are and bring them back here. I'll open the gates for them and let them through. I'll find them lands to settle south of the Wall.
They won't kneel for you and neither will I.,I don't want them to kneel for me. I want them to fight with me when the time comes.
The day I ask my people to fight with the crows is the day my people cut my guts from my belly and make me eat them.,"And how many of your people can't fight? The women, the children, the old, the sick, what happens to them? You're condemning them to death. Worse than death because you're too proud to make peace. Or maybe you're not proud. Maybe you're just a coward."
Easy thing to say to a man in chains.,Your people need a leader. And they need to get south of the Wall before it's too late. We don't have much time and they have less. The walkers are coming and they'll hit your people first. I'm not asking you to make peace to save your skin. Make peace to save your people.
Most of them are at Hardhome. You know where that is?,Up on Storroldo s Point. I can give you 10 horses and nine other men. You can get there in a week.
We'll need ships.,I'll talk to King Stannis about lending you his fleet.
"You'd bring wildlings here, through our gates?","Men, women, and children will die by the thousands if we do nothing."
We've been fighting them all for thousands of years. They've slaughtered villages. They've slaughtered our brothers.,And we've slaughtered theirs.
"I will follow you anywhere, you know that. But they killed Grenn. And they killed Pyp. . They killed 50 of our brothers. I can't forget that. I can't forgive it.","You were at the Fist of the First Men. If we abandon them, you know what they become. We can learn to live with the wildlings or we can add them to the army of the dead. Whatever they are now, they're better than that."
"You were at the Fist of the First Men. If we abandon them, you know what they become. We can learn to live with the wildlings or we can add them to the army of the dead. Whatever they are now, they're better than that.","Thank you. . Olly. . If you have something you want to say to me, say it. It's all right."
"You don't mean it, do you? Telling the wildlings you want to make peace. You're just doing it to trick them.",It's not a trick.
"They burned my village. They put an arrow through my father's head right in front of me. They butchered my mother, everyone I ever knew.",I know what it's like to lose the people you love. I know this is hard for you. But winter is coming. We know what's coming with it. We can't face it alone.
"Will there be anything else you need, Lord Commander?",No.
I hope you know what you're doing with these wildlings. I need those ships.,"You'll get them back, I swear it. Have a safe journey, Your Grace. And thank you."
EPISODE,"First Ranger, you have command of Castle Black."
"Lord Commander, it is my duty to tell you I believe this mission to be reckless, foolhardy, and an insult to all of the Brothers that have died fighting the wildlings.","As always, thank you for your honesty."
"Safe travels, Lord Commander.","Thank you, Sam."
It's Dragonglass. It's what I used to kill the White Walker. I hope you don't need them.,Me too.
You trust me Jon Snow?,Does that make me a fool?
Why aren't you in chains?,He's not my prisoner.
What is he?,We're allies.
I don't fight for the crows.,We're not here to fight. We're here to talk.
Gather the elders and let's talk.,My name's Jon Snow. I'm Lord Commander of the Night's Watch. We're not friends. We've never been friends. We won't become friends today. This isn't about friendship. This is about survival. This is about putting a 700 foot wall between you and what's out there.
Since when do the crows give 2 shits if we live?,In normal times we wouldn't. But these aren't normal times. The white walkers don't care if a man's Free Folk or Crow. We're all the same to them. Meat to their army. But together we can beat them.
"Beat the white walkers? Good luck with that. Run from them, maybe.",It's not a trick. It's a gift for those who join us.
It's not a trick. It's a gift for those who join us.,Dragonglass. A man of the Night's Watch used one of these daggers to kill a walker.
You saw this?,No. But I trust the man.
And with the things we've seen you don't believe them?,Come with me and I'll share these weapons.
Come with you where?,There are good lands south of the wall. The Night's Watch will allow you through the tunnel and allow your people to farm those lands.
There are good lands south of the wall. The Night's Watch will allow you through the tunnel and allow your people to farm those lands.,"I knew Mance Rayder. He never wanted a war with the Night's Watch, he wanted a new life for his people. For you. We're prepared to give you that new life."
If…?,If you swear you join us when the real war begins.
Where is Mance?,He died.
How?,I put an arrow through his heart.
"I lost my father, my uncle, and 2 brothers fighting the damn crows.","I'm not asking you to forget your dead. I'll never forget mine. I lost 50 brothers the night that Mance attacked the wall. But I'm asking you to think about your children now. They'll never have children of their own if we don't band together. The Long Night is coming and the dead come with it. No clan can stop them. The free folk can't stop them. The Night's Watch can't stop them. And all the southern kings can't stop them. Only together, all of us, and even then it might not be enough, but at least then we'll give the fuckers a fight."
I fucking hate Thenns.,How many are with us? 5000?
I'm not good at counting.,We're leaving too many behind.
The free folk are stubborn. You know how long it took Mance to band them together. 20 fucking years.,And he knew them better than I ever will.
Ready your arrows!,Get in line! Get in line!
Get in line! Get in line!,Hold the line! Hold the line!
Lord Commander!,Get them to the ship and come back for me!
But you'll never make it--,Now!
Now!,You should be on one of those boats.
So should you ! My little girl has gone on. They're gonna let them pass the wall even if you're not there ?,You have my word. I've given orders.
"If they get through, everyone dies !",Night's Watch with me! Move! Move! Move!
Night's Watch with me! Move! Move! Move!,The Dragonglass!
Fuck the glass! We're gonna die here.,Go! Go! Go!
"Wun Wun, to the sea.",Let's go now! Now!
Open the gates.,It was a failure.
It wasn't.,"I went to save them, I failed."
"You didn't fail him, or him, or her. Every one of them is alive because of you, and no one else.",I don't think that fact's lost on them.
Three coppers.,Here's a silver because the lady likes you.
Get the men into marching formation. On to Winterfell.,"He raised his hands. And they all stood up at once. Tens of thousands of them, the biggest army in the world."
So what are you gonna do?,I'm gonna hope they don't learn how to climb the wall.
But… the Dragonglass?,"No one's ever getting that back, now. It wouldn't have mattered anyway, unless we had a mountain of it."
But… you killed a White Walker.,With Longclaw. I saw them shatter steel axes like they were glass. But Longclaw…
He's made of Valyrian steel. How many Valyrian steel swords are left in the Seven Kingdoms?,Not enough. The first Lord Commander in history to sacrifice the lives of sworn Brothers to save the lives of Wildlings. How's it feel to be friends with the most hated man in Castle Black?
You were friends with me when I first got here. And I wasn't winning any elections back then.,Here's to us then. Long may they sneer.
Here's to us then. Long may they sneer.,What?
"I wanted to ask you something. To ask something of you. Send me, Gilly, and the baby to Oldtown so I can become a Maester. That's what I'm meant to be, not this.","I need you here, Sam. If you leave, who's left to give me advice I trust?"
Thank you.,"You know that The Citadel will make you swear off women, too."
They'll bloody try.,Sam?
What?,Sam…
Sam…,You've just been beaten half to death. How did you--
Very carefully.,I'm glad the end of the worldo s working out for someone.
I'll come back.,To your return.
He came to your aid. Stannis. Now he needs you!,We don't have enough men to make any difference.
The wildlings will make a difference!,"The wildlings won't ever fight for Stannis, I told you before--"
"You saved their bloody lives. If they're going to live in the Seven Kingdoms, safe behind our wall, they ought to fight for the damn place.",It's not their fight!
It's not their fight!,Stannis?
Lord Commander. It's one of the wildlings you brought back. Says he knows your Uncle Benjen. Says he's still alive.,Are you sure he's talking about Benjen?
Man says he saw your uncle at Hardhome the last full moon.,He could be lying.
Could be. There are ways to find out.,Where is he?
For the Watch.,Olly…
